//R->Mの座標変換
//Rのうち使った点
x,y,z
100,0,200,-46.7192,154.445,616.888,1.95547,4.49448,2.14118,
150,0,0,0.563992,164.067,810.806,0.330395,4.49055,-3.97983,
150,0,50,1.12483,162.094,762.82,0.619087,4.79945,-2.018,
150,0,100,1.58407,160.089,713.904,0.806188,5.07481,-0.987578,
150,0,150,2.05467,158.062,665.349,1.00464,5.32913,0.405448,
150,0,200,2.54238,156.049,617.158,1.2202,5.59745,2.16098,
200,0,0,50.8506,160.685,811.683,0.620115,0.607571,-3.35191,
200,0,50,51.4628,158.836,763.986,0.960168,1.04059,-1.10205,
200,0,100,52.128,156.705,715.02,1.35324,1.1904,-0.120271,
200,0,150,52.622,154.691,666.464,1.57506,1.4575,1.2704,
200,0,200,53.0949,152.547,618,1.77586,1.59483,2.75375,
0,50,0,-150.321,108.954,813.429,-1.05335,0.826035,-2.8913,
0,50,50,-150.312,107.063,766.154,-1.31641,1.21583,-0.21909,
0,50,100,-149.785,104.939,716.887,-1.06151,1.3732,0.460466,
0,50,150,-149.38,102.73,667.76,-0.92787,1.44537,1.2809,
0,50,200,-148.938,100.427,618.882,-0.758236,1.42348,2.34985,
50,50,0,-100.737,108.74,814.328,-1.4653,0.110948,-2.2426,
50,50,50,-100.349,106.606,765.438,-1.35017,0.258148,-1.18539,
50,50,100,-99.8089,104.364,716.505,-1.082,0.297436,-0.171337,
50,50,150,-99.505,102.306,667.895,-1.05021,0.520788,1.16592,
50,50,200,-99.1621,100.03,619.156,-0.979479,0.525547,2.37449,
100,50,0,-49.8161,111.448,814.669,-0.541734,2.31838,-2.15108,
100,50,50,-49.36,109.461,765.261,-0.357803,2.6124,-1.61171,
100,50,100,-48.9077,107.438,716.836,-0.177608,2.87061,-0.089574,
100,50,150,-48.4506,105.241,667.817,0.00734009,2.95491,0.839099,
100,50,200,-48.0377,103.02,619.484,0.14806,3.01482,2.45301,
150,50,0,6.62235,107.877,813.539,5.89982,-1.75369,-3.53026,
150,50,50,7.26551,106.036,765.103,6.27084,-1.31375,-2.01883,
150,50,100,7.64427,103.711,716.764,6.37746,-1.35774,-0.411269,
150,50,150,8.11906,101.461,668.12,6.5801,-1.32586,0.892158,
150,50,200,8.59384,99.6417,619.819,6.78274,-0.864187,2.53845,
200,50,0,51.3309,110.92,814.045,0.611506,0.788015,-3.27337,
200,50,50,51.6962,109.016,765.47,0.704656,1.16596,-1.90144,
200,50,100,52.3803,106.74,717.112,1.11663,1.1708,-0.312615,
200,50,150,53.1341,104.649,669.012,1.59824,1.36099,1.53486,
200,50,200,53.5004,102.571,620.292,1.69241,1.56465,2.76171,
0,100,0,-149.355,54.2311,816.821,-0.576189,-3.95182,-1.78341,
0,100,50,-148.867,52.1428,768.206,-0.360359,-3.75879,-0.450941,
0,100,100,-148.469,50.0353,718.926,-0.234365,-3.58506,0.215701,
0,100,150,-148.293,47.8079,670.751,-0.329787,-3.53125,1.98834,
0,100,200,-148.019,45.6058,621.609,-0.328308,-3.45215,2.79368,
50,100,0,-99.0698,58.5602,816.231,-0.287531,-0.123541,-2.6228,
50,100,50,-98.8512,56.3871,767.951,-0.341075,-0.0154205,-0.956128,
50,100,100,-98.3778,53.7692,719.257,-0.139837,-0.352093,0.297459,
50,100,150,-97.935,51.5879,670.094,0.0309004,-0.252069,1.08191,
50,100,200,-97.6885,49.5721,621.718,0.00520987,0.0133055,2.65226,
100,100,0,-49.4563,58.692,816.741,-0.670921,-0.492577,-2.36242,
100,100,50,-49.0237,56.6912,768.397,-0.510409,-0.212149,-0.759523,
100,100,100,-48.4436,54.0655,719.274,-0.202452,-0.556623,0.0644837,
100,100,150,-48.2428,51.8258,670.671,-0.273868,-0.515048,1.40906,
100,100,200,-47.7714,49.8195,621.904,-0.0745448,-0.240138,2.58911,
150,100,0,0.816683,59.2539,815.642,-0.394771,-0.431459,-3.71098,
150,100,50,1.10318,56.9293,767.82,-0.38042,-0.474824,-1.58579,
150,100,100,1.6886,54.5019,718.881,-0.0671453,-0.620992,-0.577331,
150,100,150,2.12746,52.423,670.701,0.0995765,-0.418704,1.18937,
150,100,200,2.55507,50.2675,621.91,0.255041,-0.292958,2.34522,
200,100,0,51.5963,59.7396,816.06,0.387932,-0.44661,-3.5423,
200,100,50,52.2285,57.66,767.377,0.748058,-0.245036,-2.27869,
200,100,100,52.7451,55.3332,719.107,0.992507,-0.290558,-0.601765,
200,100,150,53.0487,53.1518,670.721,1.02397,-0.190747,0.960122,
200,100,200,53.7502,51.0996,622.172,1.45332,0.0383222,2.35791,
0,150,0,-149.673,6.69984,819.052,-1.38261,-1.53762,-1.83598,
0,150,50,-149.292,4.2982,769.859,-1.27345,-1.65802,-1.08191,
0,150,100,-148.825,2.05458,720.664,-1.07879,-1.62041,-0.329788,
0,150,150,-148.761,-0.0820624,672.71,-1.28737,-1.47581,1.66298,
0,150,200,-148.485,-2.38943,623.886,-1.28344,-1.50194,2.78683,
50,150,0,-98.9012,7.46289,818.635,-0.607814,-1.27541,-2.50334,
50,150,50,-98.4611,5.25967,770.066,-0.439845,-1.1974,-1.12468,
50,150,100,-98.031,3.08233,721.509,-0.281928,-1.09349,0.265455,
50,150,150,-97.607,0.8384,672.728,-0.130106,-1.05619,1.43166,
50,150,200,-97.3386,-1.57105,624.336,-0.133864,-1.18441,2.98708,
100,150,0,-48.7796,8.2412,819.469,-0.483118,-0.99794,-1.91869,
100,150,50,-48.4717,5.79777,770.652,-0.447358,-1.16014,-0.788432,
100,150,100,-47.9215,3.45001,721.762,-0.16932,-1.22666,0.268497,
100,150,150,-47.4497,1.19386,673.251,0.0303304,-1.20158,1.70469,
100,150,200,-47.1667,-0.280372,624.152,0.0411656,-0.394572,2.55346,
150,150,0,1.33816,8.20392,818.714,-0.362219,-1.53607,-2.92286,
150,150,50,1.91478,5.97352,769.905,-0.0577465,-1.48523,-1.78436,
150,150,100,2.41989,3.64109,721.185,0.17522,-1.53642,-0.557406,
150,150,150,2.80829,1.48603,673.123,0.291478,-1.41025,1.32789,
150,150,200,3.38812,-0.75445,624.904,0.599163,-1.36949,3.05548,
200,150,0,52.1018,8.95934,818.493,0.404541,-1.28149,-3.39381,
200,150,50,52.5516,6.53525,770.207,0.582237,-1.42434,-1.73229,
200,150,100,53.1901,4.35373,721.781,0.94854,-1.32463,-0.211589,
200,150,150,53.7,2.10824,673.742,1.18629,-1.28888,1.69716,
200,150,200,54.1499,0.137917,625.091,1.36409,-0.977967,2.99299,
0,200,0,-149.616,-43.9504,821.406,-1.81467,-2.24245,-1.76603,
0,200,50,-149.324,-46.2269,772.513,-1.79515,-2.23773,-0.712051,
0,200,100,-148.71,-48.4174,723.831,-1.45337,-2.14695,0.553545,
0,200,150,-148.366,-50.8737,675.445,-1.38099,-2.32204,2.11398,
0,200,200,-148.258,-52.8556,626.081,-1.54546,-2.02269,2.6979,
50,200,0,-98.4882,-40.3695,821.046,-0.683763,0.837667,-2.37537,
50,200,50,-98.3344,-42.6414,772.445,-0.802156,0.84698,-1.02909,
50,200,100,-97.6156,-44.7169,723.607,-0.355426,1.05272,0.0795845,
50,200,150,-97.536,-47.1751,674.867,-0.548028,0.875729,1.2867,
50,200,200,-96.8472,-49.3941,626.461,-0.131302,0.937945,2.82792,
100,200,0,-48.7231,-42.5168,822.365,-0.915521,-1.81056,-1.30613,
100,200,50,-48.1281,-44.919,773.063,-0.59265,-1.93148,-0.661332,
100,200,100,-47.7556,-47.0425,724.639,-0.49231,-1.77379,0.862248,
100,200,150,-47.3515,-49.3732,675.898,-0.360378,-1.82324,2.06837,
100,200,200,-46.9799,-51.2792,626.536,-0.260927,-1.44802,2.65367,
150,200,0,1.59758,-42.079,821.407,-0.591729,-1.87352,-2.51367,
150,200,50,2.00424,-44.2921,771.808,-0.457216,-1.80545,-2.16597,
150,200,100,2.54166,-46.9232,724.235,-0.191939,-2.15527,0.20814,
150,200,150,2.99707,-49.2685,675.7,-0.00867106,-2.2194,1.6206,
150,200,200,1.88833,-47.3019,626.493,-1.38955,2.02848,2.36063,
200,200,0,52.1666,-41.606,821.38,-0.0195652,-1.90139,-2.79062,
200,200,50,52.796,-43.909,772.654,0.337665,-1.92321,-1.56954,
200,200,100,53.3075,-46.2948,724.511,0.577079,-2.02776,0.235027,
200,200,150,53.4827,-48.6187,676.068,0.480127,-2.07039,1.73888,
200,200,200,54.5887,-50.6262,627.292,1.31398,-1.79666,2.91024,
//最小化された2乗誤差
11.0387
