//M->Dの座標変換
//Mのうち使った点
x,y,z
-47.5949,158.534,714.297
-148.469,50.0353,718.926
-49.4563,58.692,816.741
-48.4436,54.0655,719.274
-47.7714,49.8195,621.904
52.7451,55.3332,719.107
-47.7556,-47.0425,724.639
//Dのうち使った点
x,y,z
182,153,-12
81,150,-112
179,45,-112
180,148,-112
182,252,-112
281,146,-112
181,142,-212
//回転R
0.999818,0.014565,-0.0123325
-0.0120334,-0.0204442,-0.999719
-0.014813,0.999685,-0.0202652
//並進q_T
x,y,z
237.036,867.597,-152.325
//誤差
Mx,My,Mz,Dx,Dy,Dz,誤差x,誤差y,誤差z
53.7502,51.0996,622.172,283,252,-112,-0.84759,8.09169,2.64573,
-149.673,6.69984,819.052,79,42,-162,1.61312,-8.43877,-1.99196,
-149.292,4.2982,769.859,79,95,-162,0.660193,-4.66255,-0.58234,
-148.825,2.05458,720.664,80,146,-162,0.619457,-2.88403,0.670544,
-148.761,-0.0820624,672.71,80,198,-162,-0.00437131,1.13212,1.83565,
-148.485,-2.38943,623.886,81,251,-162,0.151099,5.27867,3.15696,
-98.9012,7.46289,818.635,129,42,-162,0.834437,-8.22991,-2.01116,
-98.4611,5.25967,770.066,130,93,-162,0.827524,-5.82452,-0.786359,
-98.031,3.08233,721.509,130,145,-162,-0.169574,-2.40725,0.412638,
-97.607,0.8384,672.728,131,197,-162,-0.162369,0.784717,1.67359,
-97.3386,-1.57105,624.336,132,250,-162,0.00759755,5.36053,3.10559,
-48.7796,8.2412,819.469,179,42,-162,0.720951,-6.77692,-2.02987,
-48.4717,5.79777,770.652,180,92,-162,0.846659,-5.62636,-0.571926,
-47.9215,3.45001,721.762,181,145,-162,0.727836,-1.54424,0.792475,
-47.4497,1.19386,673.251,182,197,-162,0.690728,1.91797,2.07182,
-47.1667,-0.280372,624.152,182,250,-162,-0.176231,5.80663,2.55479,
1.33816,8.20392,818.714,229,41,-162,0.603549,-7.92901,-1.26549,
1.91478,5.97352,769.905,230,92,-162,0.457592,-5.76262,-0.0163668,
2.41989,3.64109,721.185,231,145,-162,0.385704,-1.51075,1.33548,
2.80829,1.48603,673.123,232,197,-162,0.43604,2.4015,2.52163,
3.38812,-0.75445,624.904,233,249,-162,0.294284,6.15664,3.79282,
52.1018,8.95934,818.493,280,40,-162,0.835432,-8.52405,-1.2732,
52.5516,6.53525,770.207,280,92,-162,-0.1745,-4.84027,0.17827,
53.1901,4.35373,721.781,281,144,-162,-0.378275,-1.29006,1.38719,
53.7,2.10824,673.742,283,196,-162,0.552199,2.64524,2.66602,
54.1499,0.137917,625.091,283,250,-162,-0.468961,7.97271,3.65646,
-149.616,-43.9504,821.406,79,39,-212,2.32301,-10.1205,-1.30913,
-149.324,-46.2269,772.513,79,91,-212,1.46158,-7.04296,-0.0198381,
-148.71,-48.4174,723.831,79,144,-212,0.279313,-2.74825,1.19247,
-148.366,-50.8737,675.445,80,195,-212,0.373898,-0.167466,2.67257,
-148.258,-52.8556,626.081,81,249,-212,0.68634,4.44394,3.65507,
-98.4882,-40.3695,821.046,129,39,-212,1.14795,-9.79173,-4.13889,
-98.3344,-42.6414,772.445,130,90,-212,1.42795,-7.42356,-2.85031,
-97.6156,-44.7169,723.607,130,143,-212,0.137141,-3.28211,-1.75454,
-97.536,-47.1751,674.867,131,195,-212,0.492333,-0.0577754,-0.283642,
-96.8472,-49.3941,626.461,132,247,-212,0.238943,3.51281,0.963928,
-48.7231,-42.5168,822.365,179,38,-212,1.43945,-8.91837,-1.22829,
-48.1281,-44.919,773.063,179,90,-212,0.271509,-6.24884,0.182809,
-47.7556,-47.0425,724.639,181,142,-212,1.33284,-2.69776,1.32988,
-47.3515,-49.3732,675.898,181,195,-212,0.361687,1.5321,2.67808,
-46.9799,-51.2792,626.536,182,247,-212,0.409167,4.1496,3.58866,
1.59758,-42.079,821.407,229,36,-212,1.10976,-11.2616,-0.940038,
2.00424,-44.2921,771.808,230,89,-212,1.12373,-7.88751,0.27331,
2.54166,-46.9232,724.235,231,142,-212,1.03803,-2.49453,1.94742,
2.99707,-49.2685,675.7,232,194,-212,1.01831,0.941928,3.31523,
1.88833,-47.3019,626.493,233,247,-212,2.49136,4.77549,0.335588,
52.1666,-41.606,821.38,280,37,-212,1.54271,-9.67084,-0.664345,
52.796,-43.909,772.654,280,88,-212,0.346082,-7.42275,0.659867,
53.3075,-46.2948,724.511,281,141,-212,0.27565,-2.59445,2.07687,
53.4827,-48.6187,676.068,282,194,-212,0.536911,1.93045,3.42088,
54.5887,-50.6262,627.292,283,247,-212,-0.141172,6.14062,4.45568,
//最小化された2乗誤差
34.8705
