//M->Dの座標変換
//Mのうち使った点
x,y,z
-153.72,157.345,812.328
-152.894,153.354,714.666
-152.346,149.086,617.14
-48.6251,162.629,811.891
-47.5949,158.534,714.297
-46.7192,154.445,616.888
50.8506,160.685,811.683
52.128,156.705,715.02
53.0949,152.547,618
-149.355,54.2311,816.821
-148.469,50.0353,718.926
-148.019,45.6058,621.609
-49.4563,58.692,816.741
-48.4436,54.0655,719.274
-47.7714,49.8195,621.904
51.5963,59.7396,816.06
52.7451,55.3332,719.107
53.7502,51.0996,622.172
-149.616,-43.9504,821.406
-148.71,-48.4174,723.831
-148.258,-52.8556,626.081
-48.7231,-42.5168,822.365
-47.7556,-47.0425,724.639
-46.9799,-51.2792,626.536
52.1666,-41.606,821.38
53.3075,-46.2948,724.511
54.5887,-50.6262,627.292
//Dのうち使った点
x,y,z
77,53,-12
77,155,-12
78,259,-12
180,52,-12
182,153,-12
183,257,-12
280,51,-12
281,152,-12
283,256,-12
80,45,-112
81,150,-112
81,254,-112
179,45,-112
180,148,-112
182,252,-112
279,44,-112
281,146,-112
283,252,-112
79,39,-212
79,144,-212
81,249,-212
179,38,-212
181,142,-212
182,247,-212
280,37,-212
281,141,-212
283,247,-212
//回転R
0.999904,0.0119355,-0.00702786
-0.00682686,-0.0167988,-0.999836
-0.0120516,0.999788,-0.0167157
//並進q_T
x,y,z
233.34,868.258,-154.599
//誤差
Mx,My,Mz,Dx,Dy,Dz,誤差x,誤差y,誤差z
-48.2428,51.8258,670.671,181,200,-112,-0.00714965,2.84452,1.41335,
-47.7714,49.8195,621.904,182,252,-112,0.202646,6.05492,2.60975,
0.816683,59.2539,815.642,229,44,-112,-0.131798,-7.74853,-2.99868,
1.10318,56.9293,767.82,229,94,-112,-0.726607,-5.59977,-1.4705,
1.6886,54.5019,718.881,230,147,-112,-0.626932,-1.56723,0.145403,
2.12746,52.423,670.701,231,200,-112,-0.379549,3.22827,1.42383,
2.55507,50.2675,621.91,233,252,-112,0.875711,6.41166,2.76843,
51.5963,59.7396,816.06,279,44,-112,-0.909357,-6.97556,-2.8653,
52.2285,57.66,767.377,280,94,-112,-0.858885,-5.68176,-1.59224,
52.7451,55.3332,719.107,281,146,-112,-0.686895,-1.97964,-0.0666231,
53.0487,53.1518,670.721,282,199,-112,-0.304484,2.60844,1.3092,
53.7502,51.0996,622.172,283,252,-112,-0.322617,7.03733,2.55785,
-149.673,6.69984,819.052,79,42,-162,0.994506,-8.24912,-2.21236,
-149.292,4.2982,769.859,79,95,-162,0.296181,-4.47188,-0.628934,
-148.825,2.05458,720.664,80,146,-162,0.510465,-2.69337,0.797509,
-148.761,-0.0820624,672.71,80,198,-162,0.135392,1.32463,2.13287,
-148.485,-2.38943,623.886,81,251,-162,0.543758,5.47245,3.62695,
-98.9012,7.46289,818.635,129,42,-162,0.21567,-8.30743,-2.37035,
-98.4611,5.25967,770.066,130,93,-162,0.460562,-5.90198,-0.974153,
-98.031,3.08233,721.509,130,145,-162,-0.284723,-2.4847,0.396233,
-97.607,0.8384,672.728,131,197,-162,-0.0246926,0.707537,1.82939,
-97.3386,-1.57105,624.336,132,250,-162,0.395614,5.28507,3.43266,
-48.7796,8.2412,819.469,179,42,-162,0.0954855,-7.11813,-2.53051,
-48.4717,5.79777,770.652,180,92,-162,0.473696,-5.96598,-0.899898,
-47.9215,3.45001,721.762,181,145,-162,0.607994,-1.88389,0.63676,
-47.4497,1.19386,673.251,182,197,-162,0.822244,1.57841,2.08722,
-47.1667,-0.280372,624.152,182,250,-162,0.21183,5.46523,2.74383,
1.33816,8.20392,818.714,229,41,-162,-0.0223323,-8.53112,-1.90185,
1.91478,5.97352,769.905,230,92,-162,0.084706,-6.36532,-0.480848,
2.41989,3.64109,721.185,231,145,-162,0.265083,-2.11328,1.04278,
2.80829,1.48603,673.123,232,197,-162,0.564667,1.79919,2.39867,
3.38812,-0.75445,624.904,233,249,-162,0.672754,5.55383,3.83964,
52.1018,8.95934,818.493,280,40,-162,0.208335,-9.39324,-2.04904,
52.5516,6.53525,770.207,280,92,-162,-0.551874,-5.70862,-0.427172,
53.1901,4.35373,721.781,281,144,-162,-0.504557,-2.15944,0.952101,
53.7,2.10824,673.742,283,196,-162,0.674792,1.77577,2.40026,
54.1499,0.137917,625.091,283,250,-162,-0.0935118,7.10238,3.56235,
-149.616,-43.9504,821.406,79,39,-212,1.55872,-9.7462,-1.53283,
-149.324,-46.2269,772.513,79,91,-212,0.950641,-6.66763,-0.0705694,
-148.71,-48.4174,723.831,79,144,-212,0.0207926,-2.37383,1.31307,
-148.366,-50.8737,675.445,80,195,-212,0.365561,0.208461,2.96421,
-148.258,-52.8556,626.081,81,249,-212,0.934634,4.82075,4.12184,
-98.4882,-40.3695,821.046,129,39,-212,0.390581,-9.69675,-4.50288,
-98.3344,-42.6414,772.445,130,90,-212,0.9224,-7.32678,-3.04198,
-97.6156,-44.7169,723.607,130,143,-212,-0.114863,-3.18723,-1.77463,
-97.536,-47.1751,674.867,131,195,-212,0.492404,0.0399527,-0.130694,
-96.8472,-49.3941,626.461,132,247,-212,0.489895,3.60937,1.28702,
-48.7231,-42.5168,822.365,179,38,-212,0.665143,-9.07451,-1.73416,
-48.1281,-44.919,773.063,179,90,-212,-0.247635,-6.4051,-0.149458,
-47.7556,-47.0425,724.639,181,142,-212,1.06495,-2.85388,1.16869,
-47.3515,-49.3732,675.898,181,195,-212,0.346182,1.37668,2.68901,
-46.9799,-51.2792,626.536,182,247,-212,0.650463,3.99342,3.77397,
1.59758,-42.079,821.407,229,36,-212,0.33735,-11.6815,-1.58151,
2.00424,-44.2921,771.808,230,89,-212,0.608569,-8.30721,-0.193006,
2.54166,-46.9232,724.235,231,142,-212,0.768265,-2.913,1.64875,
2.99707,-49.2685,675.7,232,194,-212,0.999794,0.523955,3.18781,
1.88833,-47.3019,626.493,233,247,-212,2.73913,4.35036,0.385694,
52.1666,-41.606,821.38,280,37,-212,0.767331,-10.3557,-1.44541,
52.796,-43.909,772.654,280,88,-212,-0.176936,-8.1082,0.0502497,
53.3075,-46.2948,724.511,281,141,-212,0.00169095,-3.27949,1.63696,
53.4827,-48.6187,676.068,282,194,-212,0.513798,1.24729,3.15268,
54.5887,-50.6262,627.292,283,247,-212,0.089077,5.45331,4.35776,
//最小化された2乗誤差
34.8343
