//R->Mの座標変換
//Rのうち使った点
x,y,z
100,0,100
0,100,100
100,100,0
100,100,100
100,100,200
200,100,100
100,200,100
//Mのうち使った点
x,y,z
-47.5949,158.534,714.297
-148.469,50.0353,718.926
-49.4563,58.692,816.741
-48.4436,54.0655,719.274
-47.7714,49.8195,621.904
52.7451,55.3332,719.107
-47.7556,-47.0425,724.639
//回転R
0.999906,0.0125893,0.00536391
0.0128322,-0.998767,-0.0479527
0.0047536,0.0480171,-0.998835
//並進q_T
x,y,z
-149.893,157.594,813.876
//誤差
Rx,Ry,Rz,Mx,My,Mz,誤差x,誤差y,誤差z
0,150,150,-148.761,-0.0820624,672.71,-1.56163,-0.668079,1.45636,
0,150,200,-148.485,-2.38943,623.886,-1.55375,-0.577807,2.57478,
50,150,0,-98.9012,7.46289,818.635,-0.892373,-0.957653,-2.6818,
50,150,50,-98.4611,5.25967,770.066,-0.720454,-0.763237,-1.30857,
50,150,100,-98.031,3.08233,721.509,-0.558589,-0.54293,0.0761274,
50,150,150,-97.607,0.8384,672.728,-0.402817,-0.389228,1.2369,
50,150,200,-97.3386,-1.57105,624.336,-0.402626,-0.40104,2.78689,
100,150,0,-48.7796,8.2412,819.469,-0.766126,-0.82095,-2.0853,
100,150,50,-48.4717,5.79777,770.652,-0.726417,-0.866746,-0.960468,
100,150,100,-47.9215,3.45001,721.762,-0.44443,-0.81687,0.0910304,
100,150,150,-47.4497,1.19386,673.251,-0.240831,-0.675384,1.52179,
100,150,200,-47.1667,-0.280372,624.152,-0.226046,0.248025,2.36513,
150,150,0,1.33816,8.20392,818.714,-0.643677,-1.49985,-3.07761,
150,150,50,1.91478,5.97352,769.905,-0.335255,-1.33261,-1.94454,
150,150,100,2.41989,3.64109,721.185,-0.098339,-1.2674,-0.723013,
150,150,150,2.80829,1.48603,673.123,0.0218678,-1.02482,1.15686,
150,150,200,3.38812,-0.75445,624.904,0.333501,-0.867664,2.87901,
200,150,0,52.1018,8.95934,818.493,0.124634,-1.38603,-3.53669,
200,150,50,52.5516,6.53525,770.207,0.306279,-1.41248,-1.8806,
200,150,100,53.1901,4.35373,721.781,0.676531,-1.19637,-0.365336,
200,150,150,53.7,2.10824,673.742,0.918229,-1.04423,1.53798,
200,150,200,54.1499,0.137917,625.091,1.09998,-0.616908,2.82838,
0,200,0,-149.616,-43.9504,821.406,-2.24132,-1.79099,-2.07339,
0,200,50,-149.324,-46.2269,772.513,-2.21785,-1.66986,-1.02484,
0,200,100,-148.71,-48.4174,723.831,-1.87212,-1.46268,0.235322,
0,200,150,-148.366,-50.8737,675.445,-1.79579,-1.52137,1.79033,
0,200,200,-148.258,-52.8556,626.081,-1.95631,-1.10562,2.36882,
50,200,0,-98.4882,-40.3695,821.046,-1.10886,1.14836,-2.67087,
50,200,50,-98.3344,-42.6414,772.445,-1.2233,1.27408,-1.33002,
50,200,100,-97.6156,-44.7169,723.607,-0.772625,1.59622,-0.226778,
50,200,150,-97.536,-47.1751,674.867,-0.961278,1.53563,0.974902,
50,200,200,-96.8472,-49.3941,626.461,-0.540603,1.71425,2.5107,
100,200,0,-48.7231,-42.5168,822.365,-1.33907,-1.64063,-1.58977,
100,200,50,-48.1281,-44.919,773.063,-1.01225,-1.64516,-0.950403,
100,200,100,-47.7556,-47.0425,724.639,-0.907959,-1.37106,0.567746,
100,200,150,-47.3515,-49.3732,675.898,-0.772077,-1.30411,1.76844,
100,200,200,-46.9799,-51.2792,626.536,-0.668677,-0.812484,2.3483,
150,200,0,1.59758,-42.079,821.407,-1.01373,-1.84437,-2.78545,
150,200,50,2.00424,-44.2921,771.808,-0.875263,-1.65989,-2.44318,
150,200,100,2.54166,-46.9232,724.235,-0.606037,-1.89331,-0.0745029,
150,200,150,2.99707,-49.2685,675.7,-0.41882,-1.84104,1.33252,
150,200,200,1.88833,-47.3019,626.493,-1.79575,2.52324,2.06713,
200,200,0,52.1666,-41.606,821.38,-0.440011,-2.013,-3.05054,
200,200,50,52.796,-43.909,772.654,-0.0788312,-1.91842,-1.83489,
200,200,100,53.3075,-46.2948,724.511,0.164532,-1.90657,-0.0357551,
200,200,150,53.4827,-48.6187,676.068,0.0715292,-1.83279,1.46267,
200,200,200,54.5887,-50.6262,627.292,0.909332,-1.44266,2.6286,
//最小化された2乗誤差
11.3693
