//R->Mの座標変換
//Rのうち使った点
x,y,z
100,0,100
100,100,100
100,100,200
200,100,100
//Mのうち使った点
x,y,z
-47.5949,158.534,714.297
-48.4436,54.0655,719.274
-47.7714,49.8195,621.904
52.7451,55.3332,719.107
//回転R
0.999971,-0.0040647,-0.00645127
-0.00445111,-0.998124,-0.0610585
-0.00619099,0.0610854,-0.998113
//並進q_T
x,y,z
-146.651,162.486,814.602
//誤差
Rx,Ry,Rz,Mx,My,Mz,誤差x,誤差y,誤差z
0,150,150,-148.761,-0.0820624,672.71,-0.532476,-3.69063,-1.33806,
0,150,200,-148.485,-2.38943,623.886,0.0661634,-2.94507,-0.25573,
50,150,0,-98.9012,7.46289,818.635,-1.63872,-5.08191,-4.82072,
50,150,50,-98.4611,5.25967,770.066,-0.876045,-4.2322,-3.48358,
50,150,100,-98.031,3.08233,721.509,-0.12342,-3.35661,-2.13497,
50,150,150,-97.607,0.8384,672.728,0.623111,-2.54762,-1.01029,
50,150,200,-97.3386,-1.57105,624.336,1.21406,-1.90414,0.503604,
100,150,0,-48.7796,8.2412,819.469,-1.5157,-4.08104,-3.67698,
100,150,50,-48.4717,5.79777,770.652,-0.885235,-3.47154,-2.58824,
100,150,100,-47.9215,3.45001,721.762,-0.0124893,-2.76638,-1.57284,
100,150,150,-47.4497,1.19386,673.251,0.781869,-1.9696,-0.178169,
100,150,200,-47.1667,-0.280372,624.152,1.38741,-0.390907,0.629077,
150,150,0,1.33816,8.20392,818.714,-1.39648,-3.89576,-4.12206,
150,150,50,1.91478,5.97352,769.905,-0.497302,-3.07324,-3.02508,
150,150,100,2.41989,3.64109,721.185,0.330373,-2.35274,-1.83965,
150,150,150,2.80829,1.48603,673.123,1.04134,-1.45487,0.00412496,
150,150,200,3.38812,-0.75445,624.904,1.94373,-0.642429,1.69019,
200,150,0,52.1018,8.95934,818.493,-0.6314,-2.91778,-4.03391,
200,150,50,52.5516,6.53525,770.207,0.141004,-2.28895,-2.41392,
200,150,100,53.1901,4.35373,721.781,1.10202,-1.41755,-0.934745,
200,150,150,53.7,2.10824,673.742,1.93447,-0.610111,0.932475,
200,150,200,54.1499,0.137917,625.091,2.70698,0.472494,2.18678,
0,200,0,-149.616,-43.9504,821.406,-2.15174,-6.81155,-5.41295,
0,200,50,-149.324,-46.2269,772.513,-1.53751,-6.03514,-4.4005,
0,200,100,-148.71,-48.4174,723.831,-0.60102,-5.17267,-3.17642,
0,200,150,-148.366,-50.8737,675.445,0.0660698,-4.57607,-1.65751,
0,200,200,-148.258,-52.8556,626.081,0.496307,-3.50503,-1.11511,
50,200,0,-98.4882,-40.3695,821.046,-1.02251,-3.00803,-5.4632,
50,200,50,-98.3344,-42.6414,772.445,-0.546192,-2.22703,-4.15844,
50,200,100,-97.6156,-44.7169,723.607,0.495245,-1.2496,-3.09129,
50,200,150,-97.536,-47.1751,674.867,0.897351,-0.654903,-1.92571,
50,200,200,-96.8472,-49.3941,626.461,1.90879,0.179003,-0.426005,
100,200,0,-48.7231,-42.5168,822.365,-1.25594,-4.93286,-3.83487,
100,200,50,-48.1281,-44.919,773.063,-0.338364,-4.2821,-3.2316,
100,200,100,-47.7556,-47.0425,724.639,0.356684,-3.35271,-1.74954,
100,200,150,-47.3515,-49.3732,675.898,1.08332,-2.63047,-0.584943,
100,200,200,-46.9799,-51.2792,626.536,1.77748,-1.48356,-0.041169,
150,200,0,1.59758,-42.079,821.407,-0.933829,-4.27243,-4.48332,
150,200,50,2.00424,-44.2921,771.808,-0.204608,-3.43267,-4.17715,
150,200,100,2.54166,-46.9232,724.235,0.655377,-3.0108,-1.84456,
150,200,150,2.99707,-49.2685,675.7,1.43335,-2.30324,-0.473627,
150,200,200,1.88833,-47.3019,626.493,0.647178,2.71633,0.224885,
200,200,0,52.1666,-41.606,821.38,-0.363343,-3.57689,-4.20118,
200,200,50,52.796,-43.909,772.654,0.588596,-2.82703,-3.02163,
200,200,100,53.3075,-46.2948,724.511,1.42272,-2.15989,-1.25858,
200,200,150,53.4827,-48.6187,676.068,1.92047,-1.43083,0.203745,
200,200,200,54.5887,-50.6262,627.292,3.34904,-0.385404,1.33359,
//最小化された2乗誤差
20.4719
