//M->Dの座標変換
//Mのうち使った点
x,y,z
-153.72,157.345,812.328
-152.346,149.086,617.14
50.8506,160.685,811.683
53.0949,152.547,618
-48.4436,54.0655,719.274
-149.616,-43.9504,821.406
-148.258,-52.8556,626.081
52.1666,-41.606,821.38
54.5887,-50.6262,627.292
//Dのうち使った点
x,y,z
77,53,-12
78,259,-12
280,51,-12
283,256,-12
180,148,-112
79,39,-212
81,249,-212
280,37,-212
283,247,-212
//回転R
0.999931,0.0103598,-0.00559529
-0.00543253,-0.0156725,-0.999862
-0.010446,0.999824,-0.0156151
//並進q_T
x,y,z
232.651,868.654,-155.124
//誤差
Mx,My,Mz,Dx,Dy,Dz,誤差x,誤差y,誤差z
53.0487,53.1518,670.721,282,199,-112,-0.493777,2.09569,1.00921,
53.7502,51.0996,622.172,283,252,-112,-0.445613,6.52461,2.31024,
-149.673,6.69984,819.052,79,42,-162,0.524917,-8.42291,-2.34845,
-149.292,4.2982,769.859,79,95,-162,-0.10673,-4.64482,-0.711412,
-148.825,2.05458,720.664,80,146,-162,0.174481,-2.86575,0.768504,
-148.761,-0.0820624,672.71,80,198,-162,-0.135262,1.15328,2.15661,
-148.485,-2.38943,623.886,81,251,-162,0.339404,5.302,3.70407,
-98.9012,7.46289,818.635,129,42,-162,-0.25347,-8.55288,-2.58753,
-98.4611,5.25967,770.066,130,93,-162,0.0575167,-6.14687,-1.1385,
-98.031,3.08233,721.509,130,145,-162,-0.621649,-2.72904,0.28471,
-97.607,0.8384,672.728,131,197,-162,-0.295283,0.463825,1.77096,
-97.3386,-1.57105,624.336,132,250,-162,0.190545,5.0424,3.42714,
-48.7796,8.2412,819.469,179,42,-162,-0.374957,-7.43433,-2.82911,
-48.4717,5.79777,770.652,180,92,-162,0.0693291,-6.28116,-1.14517,
-47.9215,3.45001,721.762,181,145,-162,0.269952,-2.19851,0.444492,
-47.4497,1.19386,673.251,182,197,-162,0.55013,1.26437,1.94767,
-47.1667,-0.280372,624.152,182,250,-162,0.00772324,5.15114,2.65791,
1.33816,8.20392,818.714,229,41,-162,-0.493086,-8.91717,-2.28008,
1.91478,5.97352,769.905,230,92,-162,-0.319655,-6.75097,-0.806206,
2.41989,3.64109,721.185,231,145,-162,-0.0731719,-2.49831,0.770309,
2.80829,1.48603,673.123,232,197,-162,0.291859,1.41474,2.17855,
3.38812,-0.75445,624.904,233,249,-162,0.465478,5.16981,3.67174,
52.1018,8.95934,818.493,280,40,-162,-0.262261,-9.85093,-2.50855,
52.5516,6.53525,770.207,280,92,-162,-0.957129,-6.16551,-0.834182,
53.1901,4.35373,721.781,281,144,-162,-0.843893,-2.61606,0.597441,
53.7,2.10824,673.742,283,196,-162,0.400723,1.31968,2.09773,
54.1499,0.137917,625.091,283,250,-162,-0.301001,6.64658,3.31271,
-149.616,-43.9504,821.406,79,39,-212,1.00595,-9.86296,-1.66979,
-149.324,-46.2269,772.513,79,91,-212,0.464316,-6.78354,-0.154103,
-148.71,-48.4174,723.831,79,144,-212,-0.399261,-2.48944,1.2822,
-148.366,-50.8737,675.445,80,195,-212,0.0109458,0.0938385,2.98613,
-148.258,-52.8556,626.081,81,249,-212,0.64761,4.70689,4.19798,
-98.4882,-40.3695,821.046,129,39,-212,-0.157395,-9.88884,-4.72165,
-98.3344,-42.6414,772.445,130,90,-212,0.440465,-7.51783,-3.20744,
-97.6156,-44.7169,723.607,130,143,-212,-0.530123,-3.37826,-1.88742,
-97.536,-47.1751,674.867,131,195,-212,0.143092,-0.149724,-0.189878,
-96.8472,-49.3941,626.461,132,247,-212,0.206412,3.41994,1.28008,
-48.7231,-42.5168,822.365,179,38,-212,0.11057,-9.33354,-2.03421,
-48.1281,-44.919,773.063,179,90,-212,-0.73538,-6.66357,-0.396119,
-47.7556,-47.0425,724.639,181,142,-212,0.643217,-3.11178,0.974795,
-47.3515,-49.3732,675.898,181,195,-212,-0.00940672,1.11953,2.54819,
-46.9799,-51.2792,626.536,182,247,-212,0.362575,3.73657,3.68696,
1.59758,-42.079,821.407,229,36,-212,-0.2165,-12.0112,-1.96132,
2.00424,-44.2921,771.808,230,89,-212,0.122275,-8.63633,-0.518798,
2.54166,-46.9232,724.235,231,142,-212,0.345964,-3.24118,1.37455,
2.99707,-49.2685,675.7,232,194,-212,0.643314,0.196483,2.96638,
1.88833,-47.3019,626.493,233,247,-212,2.45627,4.0209,0.220122,
52.1666,-41.606,821.38,280,37,-212,0.21292,-10.7565,-1.9064,
52.796,-43.909,772.654,280,88,-212,-0.665189,-8.50854,-0.358036,
53.3075,-46.2948,724.511,281,141,-212,-0.421367,-3.67915,1.28092,
53.4827,-48.6187,676.068,282,194,-212,0.156472,0.848705,2.84975,
54.5887,-50.6262,627.292,283,247,-212,-0.201567,5.05413,4.10681,
//最小化された2乗誤差
35.7516
