//R->Mの座標変換
//Rのうち使った点
x,y,z
0,0,0
0,0,200
200,0,0
200,0,200
100,100,100
0,200,0
0,200,200
200,200,0
200,200,200
//Mのうち使った点
x,y,z
-153.72,157.345,812.328
-152.346,149.086,617.14
50.8506,160.685,811.683
53.0949,152.547,618
-48.4436,54.0655,719.274
-149.616,-43.9504,821.406
-148.258,-52.8556,626.081
52.1666,-41.606,821.38
54.5887,-50.6262,627.292
//回転R
0.999889,0.0137323,0.00584462
0.013981,-0.998894,-0.0448845
0.00522179,0.0449612,-0.998975
//並進q_T
x,y,z
-151.022,156.834,814.277
//誤差
Rx,Ry,Rz,Mx,My,Mz,誤差x,誤差y,誤差z
0,150,100,-148.825,2.05458,720.664,-0.446541,-0.457041,-0.459959,
0,150,150,-148.761,-0.0820624,672.71,-0.675208,-0.349452,1.53437,
0,150,200,-148.485,-2.38943,623.886,-0.691363,-0.412591,2.65979,
50,150,0,-98.9012,7.46289,818.635,0.0670449,-0.236232,-2.64819,
50,150,50,-98.4611,5.25967,770.066,0.214928,-0.195227,-1.26796,
50,150,100,-98.031,3.08233,721.509,0.352758,-0.128331,0.123734,
50,150,150,-97.607,0.8384,672.728,0.484494,-0.12804,1.29151,
50,150,200,-97.3386,-1.57105,624.336,0.460649,-0.293262,2.84848,
100,150,0,-48.7796,8.2412,819.469,0.194179,-0.156967,-2.07509,
100,150,50,-48.4717,5.79777,770.652,0.209852,-0.356174,-0.943265,
100,150,100,-47.9215,3.45001,721.762,0.467804,-0.459709,0.115227,
100,150,150,-47.4497,1.19386,673.251,0.647367,-0.471633,1.55298,
100,150,200,-47.1667,-0.280372,624.152,0.638116,0.298365,2.40332,
150,150,0,1.33816,8.20392,818.714,0.317515,-0.893301,-3.09081,
150,150,50,1.91478,5.97352,769.905,0.601901,-0.879476,-1.95074,
150,150,100,2.41989,3.64109,721.185,0.814781,-0.967674,-0.722225,
150,150,150,2.80829,1.48603,673.123,0.910953,-0.878509,1.16464,
150,150,200,3.38812,-0.75445,624.904,1.19855,-0.874763,2.89379,
200,150,0,52.1018,8.95934,818.493,1.08671,-0.836926,-3.5733,
200,150,50,52.5516,6.53525,770.207,1.24432,-1.01679,-1.91022,
200,150,100,53.1901,4.35373,721.781,1.59054,-0.954085,-0.387958,
200,150,150,53.7,2.10824,673.742,1.8082,-0.95535,1.52235,
200,150,200,54.1499,0.137917,625.091,1.96592,-0.681444,2.81975,
0,200,0,-149.616,-43.9504,821.406,-1.33993,-1.00577,-1.86357,
0,200,50,-149.324,-46.2269,772.513,-1.3405,-1.03806,-0.808029,
0,200,100,-148.71,-48.4174,723.831,-1.01881,-0.984281,0.45913,
0,200,150,-148.366,-50.8737,675.445,-0.966511,-1.19638,2.02113,
0,200,200,-148.258,-52.8556,626.081,-1.15107,-0.934049,2.60662,
50,200,0,-98.4882,-40.3695,821.046,-0.206589,1.87614,-2.48446,
50,200,50,-98.3344,-42.6414,772.445,-0.345069,1.84845,-1.13662,
50,200,100,-97.6156,-44.7169,723.607,0.0815741,2.01718,-0.0263797,
50,200,150,-97.536,-47.1751,674.867,-0.131115,1.80318,1.18229,
50,200,200,-96.8472,-49.3941,626.461,0.265525,1.82838,2.72508,
100,200,0,-48.7231,-42.5168,822.365,-0.43591,-0.97029,-1.42677,
100,200,50,-48.1281,-44.919,773.063,-0.133126,-1.12822,-0.780408,
100,200,100,-47.7556,-47.0425,724.639,-0.0528724,-1.00754,0.744735,
100,200,150,-47.3515,-49.3732,675.898,0.0589735,-1.094,1.95242,
100,200,200,-46.9799,-51.2792,626.536,0.138338,-0.755786,2.53928,
150,200,0,1.59758,-42.079,821.407,-0.10968,-1.23146,-2.64586,
150,200,50,2.00424,-44.2921,771.808,0.00474608,-1.2004,-2.2966,
150,200,100,2.54166,-46.9232,724.235,0.249936,-1.58723,0.0790765,
150,200,150,2.99707,-49.2685,675.7,0.413118,-1.68837,1.4931,
150,200,200,1.88833,-47.3019,626.493,-0.987852,2.5225,2.2347,
200,200,0,52.1666,-41.606,821.38,0.464921,-1.45753,-2.93436,
200,200,50,52.796,-43.909,772.654,0.802065,-1.51636,-1.71171,
200,200,100,53.3075,-46.2948,724.511,1.02139,-1.65793,0.0944147,
200,200,150,53.4827,-48.6187,676.068,0.904354,-1.73756,1.59983,
200,200,200,54.5887,-50.6262,627.292,1.71812,-1.50084,2.77276,
//最小化された2乗誤差
12.5264
