//M->Dの座標変換
//Mのうち使った点
x,y,z
-47.5949,158.534,714.297
-48.4436,54.0655,719.274
-47.7714,49.8195,621.904
52.7451,55.3332,719.107
//Dのうち使った点
x,y,z
182,153,-12
180,148,-112
182,252,-112
281,146,-112
//回転R
0.999356,0.00696736,-0.0352123
-0.0348934,-0.0415559,-0.998527
-0.00842038,0.999112,-0.041286
//並進q_T
x,y,z
252.873,869.88,-137.921
//誤差
Mx,My,Mz,Dx,Dy,Dz,誤差x,誤差y,誤差z
-148.825,2.05458,720.664,80,146,-162,1.21786,-9.38534,2.3687,
-148.761,-0.0820624,672.71,80,198,-162,-0.519365,-5.35568,2.52413,
-148.485,-2.38943,623.886,81,251,-162,-1.49837,-1.19334,2.81605,
-98.9012,7.46289,818.635,129,42,-162,3.73855,-13.5926,1.43038,
-98.4611,5.25967,770.066,130,93,-162,2.60386,-11.1657,1.63015,
-98.031,3.08233,721.509,130,145,-162,0.479446,-7.72673,1.80444,
-97.607,0.8384,672.728,131,197,-162,-0.646304,-4.5143,2.03598,
-97.3386,-1.57105,624.336,132,250,-162,-1.60172,0.0744618,2.44764,
-48.7796,8.2412,819.469,179,42,-162,3.67324,-10.9783,1.10924,
-48.4717,5.79777,770.652,180,92,-162,2.6636,-9.81415,1.53764,
-47.9215,3.45001,721.762,181,145,-162,1.40859,-5.71075,1.86946,
-47.4497,1.19386,673.251,182,197,-162,0.244638,-2.22757,2.12475,
-47.1667,-0.280372,624.152,182,250,-162,-1.75676,1.69496,1.57298,
1.33816,8.20392,818.714,229,41,-162,3.56146,-10.9846,1.53734,
1.91478,5.97352,769.905,230,92,-162,2.28209,-8.79398,1.7555,
2.41989,3.64109,721.185,231,145,-162,1.078,-4.52174,2.07864,
2.80829,1.48603,673.123,232,197,-162,0.0124932,-0.588824,2.25078,
3.38812,-0.75445,624.904,233,249,-162,-1.24927,3.18974,2.50335,
52.1018,8.95934,818.493,280,40,-162,3.81748,-10.403,1.2009,
52.5516,6.53525,770.207,280,92,-162,1.68457,-6.70258,1.6331,
53.1901,4.35373,721.781,281,144,-162,0.356527,-3.1261,1.81872,
53.7,2.10824,673.742,283,196,-162,0.171064,0.830704,2.0832,
54.1499,0.137917,625.091,283,250,-162,-1.97799,6.18485,2.04693,
-149.616,-43.9504,821.406,79,39,-212,4.87648,-17.7312,2.48541,
-149.324,-46.2269,772.513,79,91,-212,2.87922,-14.6368,2.74375,
-148.71,-48.4174,723.831,79,144,-212,0.566761,-10.3163,2.92756,
-148.366,-50.8737,675.445,80,195,-212,-0.464238,-7.72179,3.38691,
-148.258,-52.8556,626.081,81,249,-212,-1.29623,-3.09093,3.32993,
-98.4882,-40.3695,821.046,129,39,-212,3.74403,-16.1576,-0.676711,
