//M->Dの座標変換
//Mのうち使った点
x,y,z
-47.7556,-47.0425,724.639
-47.3515,-49.3732,675.898
-46.9799,-51.2792,626.536
1.59758,-42.079,821.407
2.00424,-44.2921,771.808
2.54166,-46.9232,724.235
2.99707,-49.2685,675.7
1.88833,-47.3019,626.493
52.1666,-41.606,821.38
52.796,-43.909,772.654
53.3075,-46.2948,724.511
53.4827,-48.6187,676.068
54.5887,-50.6262,627.292
//Dのうち使った点
x,y,z
77,53,-12
77,103,-12
77,155,-12
77,206,-12
78,259,-12
128,52,-12
128,102,-12
129,154,-12
130,205,-12
130,258,-12
180,52,-12
181,101,-12
182,153,-12
183,204,-12
183,257,-12
229,50,-12
230,100,-12
230,151,-12
232,204,-12
233,256,-12
280,51,-12
280,100,-12
281,152,-12
282,204,-12
283,256,-12
80,49,-62
80,100,-62
80,151,-62
80,203,-62
81,256,-62
128,49,-62
129,99,-62
129,151,-62
130,203,-62
130,255,-62
179,48,-62
180,98,-62
180,150,-62
181,202,-62
182,254,-62
235,47,-62
236,98,-62
236,150,-62
237,203,-62
239,255,-62
279,47,-62
280,97,-62
281,149,-62
283,201,-62
283,254,-62
80,45,-112
80,97,-112
81,150,-112
81,201,-112
81,254,-112
130,46,-112
130,96,-112
130,148,-112
131,200,-112
132,253,-112
179,45,-112
180,95,-112
180,148,-112
181,200,-112
182,252,-112
229,44,-112
229,94,-112
230,147,-112
231,200,-112
233,252,-112
279,44,-112
280,94,-112
281,146,-112
282,199,-112
283,252,-112
79,42,-162
79,95,-162
80,146,-162
80,198,-162
81,251,-162
129,42,-162
130,93,-162
130,145,-162
131,197,-162
132,250,-162
179,42,-162
180,92,-162
181,145,-162
182,197,-162
182,250,-162
229,41,-162
230,92,-162
231,145,-162
232,197,-162
233,249,-162
280,40,-162
280,92,-162
281,144,-162
283,196,-162
283,250,-162
79,39,-212
79,91,-212
79,144,-212
80,195,-212
81,249,-212
129,39,-212
130,90,-212
130,143,-212
131,195,-212
132,247,-212
179,38,-212
179,90,-212
181,142,-212
181,195,-212
182,247,-212
229,36,-212
230,89,-212
231,142,-212
232,194,-212
233,247,-212
280,37,-212
280,88,-212
281,141,-212
282,194,-212
283,247,-212
//回転R
0.99993,0.00916688,-0.00747623
-0.00731206,-0.0178138,-0.999815
-0.00929836,0.999799,-0.0177455
//並進q_T
x,y,z
233.778,867.688,-154.297
//誤差
Mx,My,Mz,Dx,Dy,Dz,誤差x,誤差y,誤差z
-153.72,157.345,812.328,77,53,-12,1.5622,-0.831931,-2.03057,
-153.166,155.337,762.717,77,103,-12,0.655706,-0.46545,-0.898491,
-152.894,153.354,714.666,77,155,-12,0.0426401,3.459,0.234366,
-152.602,151.413,666.123,77,206,-12,-0.595026,5.89323,1.31568,
-152.346,149.086,617.14,78,259,-12,-0.19508,9.87972,2.77574,
-101.533,160.974,810.592,128,52,-12,0.331987,-3.12136,-5.20484,
-101.344,159.272,763.149,128,102,-12,-0.195242,-0.584413,-4.34297,
-100.733,157.07,713.806,129,154,-12,-0.155268,2.04713,-3.01123,
-100.367,155.34,665.536,130,205,-12,0.133569,4.75769,-2.13528,
-100.049,153.26,617.258,130,258,-12,-0.525842,9.45385,-0.909233,
-48.6251,162.629,811.891,180,52,-12,-0.577213,-1.40624,-6.3439,
-48.201,160.788,763.389,181,101,-12,-0.347076,-0.928833,-5.36024,
-47.5949,158.534,714.297,182,153,-12,-0.299454,1.95271,-3.9719,
-47.2228,156.516,665.838,183,204,-12,-0.015343,4.46939,-2.81109,
-46.7192,154.445,616.888,183,257,-12,-0.865832,8.49548,-1.6044,
0.563992,164.067,810.806,229,50,-12,-0.784173,-4.10604,-7.34351,
1.12483,162.094,762.82,230,100,-12,-0.685639,-2.11353,-6.21788,
1.58407,160.089,713.904,230,151,-12,-1.49218,-0.0536086,-5.07619,
2.05467,158.062,665.349,232,204,-12,-0.307169,4.36856,-3.90692,
2.54238,156.049,617.158,233,256,-12,-0.136678,8.15355,-2.74506,
50.8506,160.685,811.683,280,51,-12,-0.0296798,-1.92129,-3.4789,
51.4628,158.836,763.986,280,100,-12,-0.981488,-0.638222,-2.47177,
52.128,156.705,715.02,281,152,-12,-0.993193,2.37234,-1.2035,
52.622,154.691,666.464,282,204,-12,-0.831684,5.79255,-0.046845,
53.0949,152.547,618,283,256,-12,-0.647273,9.30296,1.24101,
-150.321,108.954,813.429,80,49,-62,1.61552,-4.56784,-3.59853,
-150.312,107.063,766.154,80,100,-62,1.27033,-0.867684,-2.5463,
-149.785,104.939,716.887,80,151,-62,0.394458,0.839835,-1.29225,
-149.38,102.73,667.76,80,203,-62,-0.358329,3.6858,0.0483675,
-148.938,100.427,618.882,81,256,-62,-0.14439,7.77882,1.48777,
-100.737,108.74,814.328,128,49,-62,0.0427503,-3.31102,-2.90733,
-100.349,106.606,765.438,129,99,-62,0.309555,-2.22711,-1.6377,
-99.8089,104.364,716.505,129,151,-62,-0.576008,0.812832,-0.259523,
-99.505,102.306,667.895,130,203,-62,-0.224475,4.17748,0.938165,
-99.1621,100.03,619.156,130,255,-62,-0.910843,7.40984,2.35248,
-49.8161,111.448,814.669,179,48,-62,0.103599,-3.54944,-5.13554,
-49.36,109.461,765.261,180,98,-62,0.296388,-2.98016,-4.02124,
-48.9077,107.438,716.836,180,150,-62,-0.499412,0.571027,-2.85375,
-48.4506,105.241,667.817,181,202,-62,-0.302808,3.5258,-1.52285,
-48.0377,103.02,619.484,182,254,-62,-0.0566313,7.16494,-0.155836,
6.62235,107.877,813.539,235,47,-62,-0.306584,-5.3298,-1.06028,
7.26551,106.036,765.103,236,98,-62,-0.29494,-2.78469,-0.0729012,
7.64427,103.711,716.764,236,150,-62,-1.01376,0.845996,1.39757,
8.11906,101.461,668.12,237,203,-62,-0.831569,5.17465,2.78768,
8.59384,99.6417,619.819,239,255,-62,0.349252,8.85377,3.75417,
51.3309,110.92,814.045,279,47,-62,-1.03611,-4.44236,-3.67752,
51.6962,109.016,765.47,280,97,-62,-0.747096,-3.03985,-2.6332,
52.3803,106.74,717.112,281,149,-62,-0.771836,0.575203,-1.20906,
53.1341,104.649,669.012,283,201,-62,0.134022,4.45266,0.0350334,
53.5004,102.571,620.292,283,254,-62,-0.577467,8.70703,1.25103,
-149.355,54.2311,816.821,80,45,-112,1.1765,-6.14453,1.18293,
-148.867,52.1428,768.206,80,97,-112,0.344242,-2.78386,2.41257,
-148.469,50.0353,718.926,81,150,-112,0.597018,0.910092,3.64884,
-148.293,47.8079,670.751,81,201,-112,0.0805622,3.70609,5.02258,
-148.019,45.6058,621.609,81,254,-112,-0.540252,7.53612,6.35477,
-99.0698,58.5602,816.231,130,46,-112,0.850392,-5.28946,-2.68821,
-98.8512,56.3871,767.951,130,96,-112,0.290771,-3.59814,-1.37027,
-98.3778,53.7692,719.257,130,148,-112,-0.522625,-0.325887,0.387425,
-97.935,51.5879,670.094,131,200,-112,-0.313033,2.48487,1.6999,
-97.6885,49.5721,621.718,132,253,-112,0.0973327,7.0829,2.85918,
-49.4563,58.692,816.741,179,45,-112,0.242989,-5.4145,-2.34962,
-49.0237,56.6912,768.397,180,95,-112,0.46727,-3.78232,-1.20309,
-48.4436,54.0655,719.274,180,148,-112,-0.455978,0.0610759,0.555773,
-48.2428,51.8258,670.671,181,200,-112,0.00047421,3.42905,1.93437,
-47.7714,49.8195,621.904,182,252,-112,0.182837,6.63866,3.07928,
0.816683,59.2539,815.642,229,44,-112,-0.0398813,-7.13571,-2.46352,
1.10318,56.9293,767.82,229,94,-112,-0.662576,-4.98817,-0.985345,
1.6886,54.5019,718.881,230,147,-112,-0.591579,-0.956781,0.578573,
2.12746,52.423,670.701,231,200,-112,-0.371566,3.83784,1.8062,
2.55507,50.2675,621.91,233,252,-112,0.855839,7.02027,3.0994,
51.5963,59.7396,816.06,279,44,-112,-0.817226,-6.33761,-2.46952,
52.2285,57.66,767.377,280,94,-112,-0.794357,-5.0446,-1.24831,
52.7451,55.3332,719.107,281,146,-112,-0.650465,-1.34358,0.2262,
53.0487,53.1518,670.721,282,199,-112,-0.295796,3.24345,1.55139,
53.7502,51.0996,622.172,283,252,-112,-0.341398,7.67162,2.74813,
-149.673,6.69984,819.052,79,42,-162,0.946358,-7.76273,-1.25875,
-149.292,4.2982,769.859,79,95,-162,0.219317,-3.98672,0.273,
-148.825,2.05458,720.664,80,146,-162,0.405319,-2.20922,1.64752,
-148.761,-0.0820624,672.71,80,198,-162,0.00282684,1.80765,2.93335,
-148.485,-2.38943,623.886,81,251,-162,0.382907,5.95428,4.37642,
-98.9012,7.46289,818.635,129,42,-162,0.168129,-7.79563,-1.55696,
-98.4611,5.25967,770.066,130,93,-162,0.385132,-5.39118,-0.211964,
-98.031,3.08233,721.509,130,145,-162,-0.387963,-1.97488,1.10726,
-97.607,0.8384,672.728,131,197,-162,-0.156029,1.21631,2.48904,
-97.3386,-1.57105,624.336,132,250,-162,0.235903,5.79255,4.04177,
-48.7796,8.2412,819.469,179,42,-162,0.0491718,-6.58124,-1.85427,
-48.4717,5.79777,770.652,180,92,-162,0.398721,-5.43039,-0.274744,
-47.9215,3.45001,721.762,181,145,-162,0.504584,-1.34939,1.21008,
-47.4497,1.19386,673.251,182,197,-162,0.690824,2.11187,2.60931,
-47.1667,-0.280372,624.152,182,250,-162,0.0543071,5.99836,3.2146,
1.33816,8.20392,818.714,229,41,-162,-0.0703887,-7.96993,-1.36437,
1.91478,5.97352,769.905,230,92,-162,0.00857501,-5.80508,0.00480956,
2.41989,3.64109,721.185,231,145,-162,0.160636,-1.55414,1.4769,
2.80829,1.48603,673.123,232,197,-162,0.432694,2.35733,2.78225,
3.38812,-0.75445,624.904,233,249,-162,0.512943,6.111,4.172,
52.1018,8.95934,818.493,280,40,-162,0.160953,-8.80665,-1.65155,
52.5516,6.53525,770.207,280,92,-162,-0.627629,-5.12326,-0.0806241,
53.1901,4.35373,721.781,281,144,-162,-0.608082,-1.57496,1.24705,
53.7,2.10824,673.742,283,196,-162,0.543498,2.35922,2.64436,
54.1499,0.137917,625.091,283,250,-162,-0.252087,7.68508,3.75513,
-149.616,-43.9504,821.406,79,39,-212,1.3714,-9.31124,-0.576358,
-149.324,-46.2269,772.513,79,91,-212,0.735084,-6.23382,0.834777,
-148.71,-48.4174,723.831,79,144,-212,-0.222673,-1.94092,2.16662,
-148.366,-50.8737,675.445,80,195,-212,0.0935906,0.640062,3.76701,
-148.258,-52.8556,626.081,81,249,-212,0.635041,5.25143,4.87353,
-98.4882,-40.3695,821.046,129,39,-212,0.211682,-9.23334,-3.68758,
-98.3344,-42.6414,772.445,130,90,-212,0.715416,-6.86459,-2.27713,
-97.6156,-44.7169,723.607,130,143,-212,-0.34951,-2.72577,-1.06203,
-97.536,-47.1751,674.867,131,195,-212,0.229095,0.499983,0.531521,
-96.8472,-49.3941,626.461,132,247,-212,0.19872,4.0685,1.89751,
-48.7231,-42.5168,822.365,179,38,-212,0.479598,-8.58917,-1.05449,
-48.1281,-44.919,773.063,179,90,-212,-0.461952,-5.92087,0.477823,
-47.7556,-47.0425,724.639,181,142,-212,0.82303,-2.3706,1.7451,
-47.3515,-49.3732,675.898,181,195,-212,0.0759463,1.8588,3.21414,
-46.9799,-51.2792,626.536,182,247,-212,0.352808,4.47483,4.24727,
1.59758,-42.079,821.407,229,36,-212,0.151281,-11.1712,-1.04138,
2.00424,-44.2921,771.808,230,89,-212,0.394122,-7.798,0.29495,
2.54166,-46.9232,724.235,231,142,-212,0.52519,-2.40519,2.08627,
2.99707,-49.2685,675.7,232,194,-212,0.728452,1.03062,3.57412,
1.88833,-47.3019,626.493,233,247,-212,2.4512,4.85952,0.724358,
52.1666,-41.606,821.38,280,37,-212,0.581246,-9.82046,-1.04455,
52.796,-43.909,772.654,280,88,-212,-0.391261,-7.57396,0.399232,
53.3075,-46.2948,724.511,281,141,-212,-0.240838,-2.74642,1.93499,
53.4827,-48.6187,676.068,282,194,-212,0.24311,1.77911,3.40036,
54.5887,-50.6262,627.292,283,247,-212,-0.209068,5.98465,4.55219,
//最小化された2乗誤差
34.0726
